variant,canonical,fandom
Aayla S.,Aayla Secura,
Abraxas M.,Abraxas Malfoy,
Adam T.,Adam Taurus,
Alastor “Mad-Eye” Moody,"Alastor ""Mad-Eye"" Moody",
Albus D.,Albus Dumbledore,
Alicia S.,Alicia Spinnet,
Andromeda T.,Andromeda Tonks,Harry Potter
Anko M.,Anko Mitarashi,
Annabeth C.,Annabeth Chase,
Arcturus B.,Arcturus Black,
Arya S.,Arya Stark,
Ashley W.,Ashley Williams,
Bambietta B.,Bambietta Basterbine,
Bellatrix Black-Lestrange,Bellatrix Black Lestrange,
Bellatrix L.,Bellatrix Lestrange,Harry Potter
Blaise Z.,Blaise Zabini,
Blake B.,Blake Belladonna,
C.C,C.C.,
Cecile C.,Cecile Croomy,
Cedric D.,Cedric Diggory,
Cinder F.,Cinder Fall,
Crusch K.,Crusch Karsten,
Dacey M.,Dacey Mormont,
Daenerys T.,Daenerys Targaryen,
Danzō S.,Danzo Shimura,Naruto
Daphne G.,Daphne Greengrass,
Dorothea E.,Dorothea Ernst,
Draco M.,Draco Malfoy,
Edward E.,Edward Elric,
Emerald S.,Emerald Sustrai,
Fay D.,Fay Dunbar,Harry Potter
Fleur D.,Fleur Delacour,
Fugaku U.,Fugaku Uchiha,
Gai M.,Might Guy,Naruto
Ganessa R.,Ganessa Roland,Freezing
Genma S.,Genma Shiranui,
Ginny W.,Ginny Weasley,
Gino W.,Gino Weinberg,
Glynda G.,Glynda Goodwitch,
Grayfia L.,Grayfia Lucifuge,
Hakuno K.,Hakuno Kishinami,Fate/Series
Hakuno K.,Hakuno Kishinami,Naruto
Hana I.,Hana Inuzuka,
Harry O.,Harry Osborn,
Harry P.,Harry Potter,Harry Potter
Harry P.,Harry Potter,Death Note
Harry P.,Harry Potter,Avengers
Harry P.,Harry Potter,Baldur's Gate
Harry P.,Harry Potter,The Elder Scrolls
Heart P.,Heart Pirates,
Hermione G.,Hermione Granger,
Hinata H.,Hinata Hyuga,Naruto
Hinata H.,Hinata Hyuga,Bleach
Hinata H.,Hinata Hyuga,Assassin's Creed
Hiruzen S.,Hiruzen Sarutobi,
Hitoha M.,Hitoha Miyamizu,Your Name
Ichigo K.,Ichigo Kurosaki,
Ikumi U.,Ikumi Unagiya,Bleach
Ilia A.,Ilia Amitola,
Ino Y.,Ino Yamanaka,
Iruka U.,Iruka Umino,
Itachi U.,Itachi Uchiha,
Izuku M.,Izuku Midoriya,My Hero Academia
Izuku M.,Izuku Midoriya,JoJo's Bizarre Adventure
Izumi U.,Izumi Uchiha,
Jaina S.,Jaina Solo,Harry Potter
Jaina S.,Jaina Solo,Star Wars
James V.,James Vega,Mass Effect
Jaune A.,Jaune Arc,
Jeremiah G.,Jeremiah Gottwald,
Jessica J.,Jessica Jones,
Jon A.,Jon Arryn,
Jon S.,Jon Snow,
Julian A.,Julian Ainsworth,Fate/Series
Junior X.,Junior Xiong,RWBY
Kabuto Y.,Kabuto Yakushi,
Kaidan A.,Kaidan Alenko,Mass Effect
Kakashi H.,Kakashi Hatake,
Kali B.,Kali Belladonna,
Kallen S.,Kallen Stadtfeld,
Kaname O.,Kaname Oghi,
Kasumi G.,Kasumi Goto,Mass Effect
Katsuki B.,Katsuki Bakugo,My Hero Academia
Kiba I.,Kiba Inuzuka,
Kim P.,Kim Possible,
Kimimaro K.,Kimimaro Kaguya,Naruto
Kira N.,Kira Nerys,StarTrek
Kurenai Y.,Kurenai Yūhi,
Kurumu K.,Kurumu Kurono,
Kushina U.,Kushina Uzumaki,
Lavender B.,Lavender Brown,
Leia O.,Leia Organa,
Lelouch L.,Lelouch Lamperouge,Code Geass
Lelouch L.,Lelouch Lamperouge,Highschool DxD
Light Y.,Light Yagami,Death Note
Lily Evans-Potter,Lily Evans Potter,
Lucius M.,Lucius Malfoy,
Lucretia Z.,Lucretia Zola,
Luke C.,Luke Castellan,Percy Jackson and the Olympians
Luke S.,Luke Skywalker,
Luna L.,Luna Lovegood,
Madara U.,Madara Uchiha,Naruto
Margaery T.,Margaery Tyrell,
May P.,May Parker,
Melanie M.,Melanie Malachite,
Mikaela B.,Mikaela Banes,
Mikoto U.,Mikoto Uchiha,
Milly A.,Milly Ashford,
Miltia M.,Miltia Malachite,RWBY
Minato N.,Minato Namikaze,
Minato S.,Minato Sahashi,
Minerva M.,Minerva McGonagall,Harry Potter
Miranda L.,Miranda Lawson,
Misato K.,Misato Katsuragi,
Mito U.,Mito Uzumaki,
Mitsuha M.,Mitsuha Miyamizu,
Mizore S.,Mizore Shirayuki,
Moka A.,Moka Akashiya,
Monica K.,Monica Kruszewski,Code Geass
Motoyasu K.,Motoyasu Kitamura,Return of the Shield Hero
Naofumi I.,Naofumi Iwatani,Return of the Shield Hero
Naoto S.,Naoto Stadtfelt,
Narcissa Black-Malfoy,Narcissa Black Malfoy,
Narcissa M.,Narcissa Malfoy,Harry Potter
Naruko U.,Naruko Uzumaki,
Naruto U.,Naruto Uzumaki,
Neji H.,Neji Hyuuga,
Neville L.,Neville Longbottom,
Nick F.,Nick Fury,
Nina E.,Nina Einstein,
Nora V.,Nora Valkyrie,
