variant,canonical,route
#Nsfw,NSFW,tag
#Self Insert,Self-Insert,tag
'Love'craft,Lovecraft,tag
'Original' Setting,Original setting,tag
(but not really),but not really,tag
(kind of),kind of,tag
(kinda),Kinda,tag
(SW SI,SW SI,tag
+G to L > Highschool DxD,High School DxD,fandom
....eventually,eventually,tag
2077,Cyberpunk 2077,fandom
40K,"Warhammer 40,000",fandom
?? Self-Insert,Self-Insert,tag
[NSFW],NSFW,tag
a fuckton of ocs - Freeform,OC,tag
A Highschool DxD fic,High School DxD,fandom
A Naruto SI,Self-Insert,tag
A Star Wars SI,Self-Insert,tag
A. E. Stark/Tony,Tony Stark,character
A/Fourth Raikage,A (Fourth Raikage),character
Active Discussion Makes The Author Happy.,Active Discussion Makes The Author Happy,tag
Adult - Femslash,Femslash,tag
Adventure & Romance,Adventure,genre
Adventure and Romance,Adventure & Romance,tag
Adventure/Action,Adventure,genre
Aftermath of Torture,Torture,tag
Aged Up Characters,Aged-Up Character(s),tag
Aged-Up Characters,Aged-Up Character(s),tag
Agent Phil Coulson,Phil Coulson,character
Ahsoka T.,Ahsoka Tano,character
Ai Assisted,Ai-Assisted,tag
Akatsuki - Freeform,Naruto,fandom
Albus Dumbledore Bashing,Dumbledore Bashing,tag
Alexander Mitchell | Lexar,Alexander Mitchell | Lexar,character
Alice L.,Alice L.,character
Alice Zuberg | Alice Synthesis Thirty,Alice Zuberg,character
Almost everyone bashing,Bashing,tag
Alt History,Alternate Universe,genre
Alt Universe,Alternate Universe,genre
alt-history,Alt History,tag
Alternate Au,Alternate Universe,genre
Alternate Canon,Alternate Universe,genre
Alternate Timeline,Alternate Universe,genre
Alternate Universe - Canon,Alternate Universe,genre
Alternate Universe - Dark,Alternate Universe,genre
Alternate Universe - Fantasy,Alternate Universe,genre
Alternate Universe - Harry Potter Setting,Alternate Universe,genre
Alternate Universe - Magic,Alternate Universe,genre
Alternate Universe - Pre-Canon,Alternate Universe,genre
Alternate Universe - Reincarnation,Reincarnation,genre
Alternate Universe - Science Fiction,Alternate Universe,genre
Alternate Universe - Soulmates,Soulmates,tag
Alternative Universe,Alternate Universe,genre
Amelia B.,Amelia B.,character
Amnesia(?),Amnesia,tag
